"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02028V02456","Principle Economic Status","UNIT","VALUE"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2015Q3","2015Q3","1","At work","%","3.1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2015Q3","2015Q3","2","Unemployed","%","2.5"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2015Q3","2015Q3","3","Student","%","81.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2015Q3","2015Q3","4","Engaged on home duties","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2015Q3","2015Q3","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2015Q3","2015Q3","6","Unable to work due to permanent sickness/disability","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2015Q3","2015Q3","7","Other","%","7.8"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2015Q4","2015Q4","1","At work","%","3.6"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2015Q4","2015Q4","2","Unemployed","%","3.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2015Q4","2015Q4","3","Student","%","90.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2015Q4","2015Q4","4","Engaged on home duties","%","1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2015Q4","2015Q4","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2015Q4","2015Q4","6","Unable to work due to permanent sickness/disability","%","2.6"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2015Q4","2015Q4","7","Other","%","9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2016Q1","2016Q1","1","At work","%","3.1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2016Q1","2016Q1","2","Unemployed","%","2.5"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2016Q1","2016Q1","3","Student","%","91.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2016Q1","2016Q1","4","Engaged on home duties","%","1.1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2016Q1","2016Q1","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2016Q1","2016Q1","6","Unable to work due to permanent sickness/disability","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2016Q1","2016Q1","7","Other","%","9.1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2016Q2","2016Q2","1","At work","%","3.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2016Q2","2016Q2","2","Unemployed","%","3.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2016Q2","2016Q2","3","Student","%","90.2"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2016Q2","2016Q2","4","Engaged on home duties","%","1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2016Q2","2016Q2","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2016Q2","2016Q2","6","Unable to work due to permanent sickness/disability","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2016Q2","2016Q2","7","Other","%","9.1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2016Q3","2016Q3","1","At work","%","2.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2016Q3","2016Q3","2","Unemployed","%","2.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2016Q3","2016Q3","3","Student","%","84.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2016Q3","2016Q3","4","Engaged on home duties","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2016Q3","2016Q3","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2016Q3","2016Q3","6","Unable to work due to permanent sickness/disability","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2016Q3","2016Q3","7","Other","%","8"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2016Q4","2016Q4","1","At work","%","3.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2016Q4","2016Q4","2","Unemployed","%","4.2"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2016Q4","2016Q4","3","Student","%","91.5"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2016Q4","2016Q4","4","Engaged on home duties","%","1.5"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2016Q4","2016Q4","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2016Q4","2016Q4","6","Unable to work due to permanent sickness/disability","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2016Q4","2016Q4","7","Other","%","9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2017Q1","2017Q1","1","At work","%","3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2017Q1","2017Q1","2","Unemployed","%","4.1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2017Q1","2017Q1","3","Student","%","92.2"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2017Q1","2017Q1","4","Engaged on home duties","%","1.2"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2017Q1","2017Q1","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2017Q1","2017Q1","6","Unable to work due to permanent sickness/disability","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2017Q1","2017Q1","7","Other","%","9.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2017Q2","2017Q2","1","At work","%","3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2017Q2","2017Q2","2","Unemployed","%","4.1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2017Q2","2017Q2","3","Student","%","90.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2017Q2","2017Q2","4","Engaged on home duties","%","1.1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2017Q2","2017Q2","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2017Q2","2017Q2","6","Unable to work due to permanent sickness/disability","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2017Q2","2017Q2","7","Other","%","8.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2017Q3","2017Q3","1","At work","%","3.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2017Q3","2017Q3","2","Unemployed","%","4.2"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2017Q3","2017Q3","3","Student","%","90.8"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2017Q3","2017Q3","4","Engaged on home duties","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2017Q3","2017Q3","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2017Q3","2017Q3","6","Unable to work due to permanent sickness/disability","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2017Q3","2017Q3","7","Other","%","8.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2017Q4","2017Q4","1","At work","%","4.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2017Q4","2017Q4","2","Unemployed","%","5.6"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2017Q4","2017Q4","3","Student","%","96.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2017Q4","2017Q4","4","Engaged on home duties","%","1.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2017Q4","2017Q4","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2017Q4","2017Q4","6","Unable to work due to permanent sickness/disability","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2017Q4","2017Q4","7","Other","%","10.8"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2018Q1","2018Q1","1","At work","%","4.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2018Q1","2018Q1","2","Unemployed","%","5.1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2018Q1","2018Q1","3","Student","%","96.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2018Q1","2018Q1","4","Engaged on home duties","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2018Q1","2018Q1","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2018Q1","2018Q1","6","Unable to work due to permanent sickness/disability","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2018Q1","2018Q1","7","Other","%","10.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2018Q2","2018Q2","1","At work","%","4.8"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2018Q2","2018Q2","2","Unemployed","%","6.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2018Q2","2018Q2","3","Student","%","94.1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2018Q2","2018Q2","4","Engaged on home duties","%","1.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2018Q2","2018Q2","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2018Q2","2018Q2","6","Unable to work due to permanent sickness/disability","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2018Q2","2018Q2","7","Other","%","10.2"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2018Q3","2018Q3","1","At work","%","4.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2018Q3","2018Q3","2","Unemployed","%","5.8"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2018Q3","2018Q3","3","Student","%","89.8"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2018Q3","2018Q3","4","Engaged on home duties","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2018Q3","2018Q3","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2018Q3","2018Q3","6","Unable to work due to permanent sickness/disability","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2018Q3","2018Q3","7","Other","%","8.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2018Q4","2018Q4","1","At work","%","4.5"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2018Q4","2018Q4","2","Unemployed","%","3.6"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2018Q4","2018Q4","3","Student","%","96.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2018Q4","2018Q4","4","Engaged on home duties","%","1.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2018Q4","2018Q4","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2018Q4","2018Q4","6","Unable to work due to permanent sickness/disability","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2018Q4","2018Q4","7","Other","%","10.2"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2019Q1","2019Q1","1","At work","%","4.1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2019Q1","2019Q1","2","Unemployed","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2019Q1","2019Q1","3","Student","%","96"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2019Q1","2019Q1","4","Engaged on home duties","%","1.5"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2019Q1","2019Q1","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2019Q1","2019Q1","6","Unable to work due to permanent sickness/disability","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2019Q1","2019Q1","7","Other","%","10.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2019Q2","2019Q2","1","At work","%","4.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2019Q2","2019Q2","2","Unemployed","%","6"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2019Q2","2019Q2","3","Student","%","94.6"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2019Q2","2019Q2","4","Engaged on home duties","%","1.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2019Q2","2019Q2","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2019Q2","2019Q2","6","Unable to work due to permanent sickness/disability","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2019Q2","2019Q2","7","Other","%","10.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2019Q3","2019Q3","1","At work","%","4.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2019Q3","2019Q3","2","Unemployed","%","4.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2019Q3","2019Q3","3","Student","%","89.6"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2019Q3","2019Q3","4","Engaged on home duties","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2019Q3","2019Q3","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2019Q3","2019Q3","6","Unable to work due to permanent sickness/disability","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2019Q3","2019Q3","7","Other","%","9.2"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2019Q4","2019Q4","1","At work","%","4.8"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2019Q4","2019Q4","2","Unemployed","%","3.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2019Q4","2019Q4","3","Student","%","96.1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2019Q4","2019Q4","4","Engaged on home duties","%","2"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2019Q4","2019Q4","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2019Q4","2019Q4","6","Unable to work due to permanent sickness/disability","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2019Q4","2019Q4","7","Other","%","10.6"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2020Q1","2020Q1","1","At work","%","4.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2020Q1","2020Q1","2","Unemployed","%","4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2020Q1","2020Q1","3","Student","%","95.6"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2020Q1","2020Q1","4","Engaged on home duties","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2020Q1","2020Q1","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2020Q1","2020Q1","6","Unable to work due to permanent sickness/disability","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2020Q1","2020Q1","7","Other","%","10.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2020Q2","2020Q2","1","At work","%","4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2020Q2","2020Q2","2","Unemployed","%","6.5"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2020Q2","2020Q2","3","Student","%","91.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2020Q2","2020Q2","4","Engaged on home duties","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2020Q2","2020Q2","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2020Q2","2020Q2","6","Unable to work due to permanent sickness/disability","%","3.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2020Q2","2020Q2","7","Other","%","9.8"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2020Q3","2020Q3","1","At work","%","4.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2020Q3","2020Q3","2","Unemployed","%","4.6"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2020Q3","2020Q3","3","Student","%","87.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2020Q3","2020Q3","4","Engaged on home duties","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2020Q3","2020Q3","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2020Q3","2020Q3","6","Unable to work due to permanent sickness/disability","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2020Q3","2020Q3","7","Other","%","8.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2020Q4","2020Q4","1","At work","%","4.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2020Q4","2020Q4","2","Unemployed","%","5.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2020Q4","2020Q4","3","Student","%","95.8"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2020Q4","2020Q4","4","Engaged on home duties","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2020Q4","2020Q4","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2020Q4","2020Q4","6","Unable to work due to permanent sickness/disability","%","2.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2020Q4","2020Q4","7","Other","%","10.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2021Q1","2021Q1","1","At work","%","5.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2021Q1","2021Q1","2","Unemployed","%","5.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2021Q1","2021Q1","3","Student","%","98.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2021Q1","2021Q1","4","Engaged on home duties","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2021Q1","2021Q1","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2021Q1","2021Q1","6","Unable to work due to permanent sickness/disability","%","2.8"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2021Q1","2021Q1","7","Other","%","12.2"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2021Q2","2021Q2","1","At work","%","5.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2021Q2","2021Q2","2","Unemployed","%","9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2021Q2","2021Q2","3","Student","%","97.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2021Q2","2021Q2","4","Engaged on home duties","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2021Q2","2021Q2","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2021Q2","2021Q2","6","Unable to work due to permanent sickness/disability","%","3.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2021Q2","2021Q2","7","Other","%","12"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2021Q3","2021Q3","1","At work","%","5.2"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2021Q3","2021Q3","2","Unemployed","%","8"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2021Q3","2021Q3","3","Student","%","94.2"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2021Q3","2021Q3","4","Engaged on home duties","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2021Q3","2021Q3","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2021Q3","2021Q3","6","Unable to work due to permanent sickness/disability","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2021Q3","2021Q3","7","Other","%","10.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2021Q4","2021Q4","1","At work","%","5.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2021Q4","2021Q4","2","Unemployed","%","5.1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2021Q4","2021Q4","3","Student","%","99"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2021Q4","2021Q4","4","Engaged on home duties","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2021Q4","2021Q4","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2021Q4","2021Q4","6","Unable to work due to permanent sickness/disability","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2021Q4","2021Q4","7","Other","%","11.5"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2022Q1","2022Q1","1","At work","%","5.6"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2022Q1","2022Q1","2","Unemployed","%","5.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2022Q1","2022Q1","3","Student","%","99.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2022Q1","2022Q1","4","Engaged on home duties","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2022Q1","2022Q1","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2022Q1","2022Q1","6","Unable to work due to permanent sickness/disability","%","2.8"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2022Q1","2022Q1","7","Other","%","11.8"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2022Q2","2022Q2","1","At work","%","5.1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2022Q2","2022Q2","2","Unemployed","%","6.8"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2022Q2","2022Q2","3","Student","%","99"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2022Q2","2022Q2","4","Engaged on home duties","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2022Q2","2022Q2","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2022Q2","2022Q2","6","Unable to work due to permanent sickness/disability","%","2.5"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2022Q2","2022Q2","7","Other","%","10.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2022Q3","2022Q3","1","At work","%","4.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2022Q3","2022Q3","2","Unemployed","%","5.6"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2022Q3","2022Q3","3","Student","%","95.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2022Q3","2022Q3","4","Engaged on home duties","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2022Q3","2022Q3","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2022Q3","2022Q3","6","Unable to work due to permanent sickness/disability","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2022Q3","2022Q3","7","Other","%","9.5"
